Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/wifi_dsn_i/dbg_sic_fir_q[14:0],u_ila_0_dbg_sic_fir_q[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_auto_corr[25:0],i_system_wrapper/wifi_dsn_i/dbg_sic_ch_est_i[31:0],i_system_wrapper/wifi_dsn_i/dbg_sic_lts_th[15:0],i_system_wrapper/wifi_dsn_i/dbg_sic_memory_out_q[14:0],u_ila_0_dbg_sic_memory_out_q[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_lts_corr[31:0],i_system_wrapper/wifi_dsn_i/dbg_sic_fir_i[14:0],u_ila_0_dbg_sic_fir_i[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_auto_th[25:0],i_system_wrapper/wifi_dsn_i/tx_wave_bram_0_tx_ram_addr[10:0],i_system_wrapper/wifi_dsn_i/mux_1_dout[15:0],i_system_wrapper/wifi_dsn_i/wlan_fd_32b_0_cancel_i_out[15:0],i_system_wrapper/wifi_dsn_i/dbg_sic_memory_out_i[14:0],u_ila_0_dbg_sic_memory_out_i[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_eng_th[13:0],i_system_wrapper/wifi_dsn_i/fifo_generator_idata_rx_dout[15:0],i_system_wrapper/wifi_dsn_i/fifo_generator_qdata_rx_dout[15:0],i_system_wrapper/wifi_dsn_i/mux_0_dout[15:0],i_system_wrapper/wifi_dsn_i/wlan_fd_32b_0_cancel_q_out[15:0],i_system_wrapper/wifi_dsn_i/dbg_rx_din_sel[1:0],i_system_wrapper/wifi_dsn_i/dbg_sic_ch_est_q[31:0],i_system_wrapper/wifi_dsn_i/dbg_sic_eng14[13:0],i_system_wrapper/wifi_dsn_i/tx_wave_bram_0/dbg_en_out[0:0],i_system_wrapper/wifi_dsn_i/tx_wave_bram_0/inst/tx_ram_wr_en[0:0],i_system_wrapper/wifi_dsn_i/dbg_ch_est,i_system_wrapper/wifi_dsn_i/dbg_ch_est_done,i_system_wrapper/wifi_dsn_i/dbg_sic_cancel,i_system_wrapper/wifi_dsn_i/dbg_sic_ch_est_valid,i_system_wrapper/wifi_dsn_i/dbg_sic_det_ofdm,u_ila_0_dbg_sic_lts_sync_1,u_ila_0_dbg_sic_lts_sync,i_system_wrapper/wifi_dsn_i/dbg_sic_lts_timeout,i_system_wrapper/wifi_dsn_i/dbg_tx_running_1,i_system_wrapper/wifi_dsn_i/full_2,i_system_wrapper/wifi_dsn_i/full_3,i_system_wrapper/wifi_dsn_i/gxc_wtx_0_tx_dout_valid_free,i_system_wrapper/wifi_dsn_i/mux_1b_0_dout,i_system_wrapper/wifi_dsn_i/mux_wr_en_dout,u_ila_0_tx_wave_bram_0_tx_ram_sel
0,0,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000004,0000,0,0000000,000,0,0090,7f90,1,0001,-16,48,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,0090,7f90,1,0001,-16,48,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,2,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,-16,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3,3,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,-16,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,4,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,-16,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5,5,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,6,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,7,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,8,0,0000,0,0000000,000b19bf,1f40,0000,0,000000d0,0000,0,0000000,000,0,ff90,0050,0,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9,9,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,ff90,0050,0,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,10,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,48,-48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,11,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,48,-48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,12,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,48,-48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
13,13,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14,14,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,15,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,16,0,0000,0,0000000,000b19bf,1f40,0020,0,000002d4,0000,0,0000000,000,0,0050,0020,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,17,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0050,0020,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,18,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,-32,48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,19,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,-32,48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,20,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,-32,48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
21,21,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22,22,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,23,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24,24,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000006a0,0000,0,0000000,000,0,0020,7f90,1,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25,25,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,0020,7f90,1,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26,26,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,0,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,27,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,0,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
28,28,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,0,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
29,29,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
30,30,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,31,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
32,32,0,0000,0,0000000,000b19bf,1f40,0030,0,00000168,0000,0,0000000,000,0,ff90,0060,0,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,33,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,ff90,0060,0,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
34,34,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,-64,64,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,35,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,-64,64,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,36,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,-64,64,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
37,37,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,38,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
39,39,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40,40,0,0000,0,0000000,000b19bf,1f40,7ff0,1,00000080,0000,0,0000000,000,0,0060,7ff0,1,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
41,41,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,0060,7ff0,1,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,42,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,96,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,43,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,96,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44,44,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,96,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
45,45,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
46,46,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
47,47,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
48,48,0,0000,0,0000000,000b19bf,1f40,0020,0,000001b4,0000,0,0000000,000,0,fff0,7fe0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
49,49,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,fff0,7fe0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50,50,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,-96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
51,51,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,-96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
52,52,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,-96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
53,53,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
54,54,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55,55,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
56,56,0,0000,0,0000000,000b19bf,1f40,0010,0,00000094,0000,0,0000000,000,0,ffe0,0030,0,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,57,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,ffe0,0030,0,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
58,58,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,96,16,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
